Tag,Distance,RGB_1,RGB_2
T2-8-1,66.99852654959064,[224.00744939 218.9544126  216.11452096],[84.6425433  47.1347109  31.66502165]
T2-2-1,66.12625310415595,[224.00744939 218.9544126  216.11452096],[79.49863524 52.16035904 28.67841583]
T2-7-1,65.98726319112833,[224.00744939 218.9544126  216.11452096],[88.53565738 50.08046714 32.76164937]
T2-6-1,68.0340270694776,[224.00744939 218.9544126  216.11452096],[83.55698349 45.78849466 28.93266912]
T2-3-1,67.28859512020318,[224.00744939 218.9544126  216.11452096],[76.70710113 49.20651694 26.02666494]
T2-5-1,65.81924833393951,[224.00744939 218.9544126  216.11452096],[83.1337094  53.00245656 28.22549359]
T2-10-1,63.35491411621718,[224.00744939 218.9544126  216.11452096],[98.64016208 57.34695363 37.18057409]
T2-9-1,62.61927175861206,[224.00744939 218.9544126  216.11452096],[103.41476752  59.8312881   39.18927758]
T2-4-1,65.4989825423151,[224.00744939 218.9544126  216.11452096],[87.21816565 55.48877307 27.80171924]
T2-1-1,65.99774798761702,[224.00744939 218.9544126  216.11452096],[83.56793937 53.67643471 27.39595608]
